t,a
0.028467894,0.010253906
0.031280279,-0.000732422
0.033885241,0.00390625
0.036492825,0.000488281
0.039083242,-0.002197266
0.041655779,-0.004150391
0.044222355,-0.001220703
0.046809196,-0.003662109
0.049378633,0.005371094
0.051946878,-0.000488281
0.054513454,0.007324219
0.057080984,0.00390625
0.059649944,0.000488281
0.062216759,0.003662109
0.064782381,-0.003173828
0.067352772,0.004394531
0.069921255,0.002197266
0.072635174,0.005371094
0.075332642,0.005615234
0.078068018,0.004150391
0.080909491,0.00390625
0.083679914,0.006103516
0.086570024,0.004394531
0.089218378,0.004638672
0.091922045,0.006347656
0.094651937,0.007080078
0.097302198,0.009277344
0.099869251,0.006591797
0.102434874,0.006591797
0.104999304,0.002441406
0.107567072,-0.000488281
0.110132456,-0.000244141
0.112701416,0.000488281
0.115268469,0.000488281
0.117837906,0.000244141
0.120405436,0.001953125
0.122971773,0.001220703
0.125537395,0.0078125
0.128226757,0.004882813
0.130798817,0.005126953
0.133367777,0.005615234
0.135935307,0.006103516
0.138516665,0.002197266
0.141084671,0.002685547
0.143650532,0
0.146215916,0.005615234
0.148784399,0.003173828
0.151353836,0.005615234
0.153920889,0.008056641
0.156489849,0.004638672
0.159066916,0.002441406
0.161641598,-0.001464844
0.164225101,0.003417969
0.166812181,0.001464844
0.169387817,0.004150391
0.171964169,0.005126953
0.174539089,0.004394531
0.177113771,-0.000732422
0.179688215,-0.002929688
0.18228364,-0.000244141
0.184857607,0.007080078
0.187433004,0.0078125
0.190008402,0.005371094
0.192588806,0.006347656
0.195165396,0.004394531
0.197740555,0.003417969
0.200315714,0.005615234
0.202890396,0.00390625
0.205465317,0.007080078
0.208042145,0.004150391
0.210617781,0.004638672
0.213196516,0.000244141
0.215771914,0.000488281
0.218348503,0.010009766
0.220924139,0.0078125
0.22349906,0.008789063
0.226074219,0.005615234
0.228649139,0.003417969
0.231223345,0
0.23380065,0.004638672
0.236377716,0.006347656
0.238954782,0.004882813
0.241530657,0.003173828
0.244106293,0.005126953
0.246682167,0.0078125
0.249255657,0.001953125
0.251830816,0.002441406
0.254410028,-0.006835938
0.256985426,-0.00390625
0.259563684,0.003417969
0.262138844,0.001953125
0.264712811,0.006103516
0.2672894,0.006591797
0.269863367,0.006347656
0.272439003,0.006103516
0.275014877,0.004150391
0.277591467,0.005371094
0.280166388,0.005615234
0.282741785,0.006347656
0.285316229,0.000488281
0.287891626,0.004882813
0.290466547,0.006835938
0.293043137,0.010009766
0.295619488,0.009521484
0.29819417,0.006347656
0.300769329,0.00390625
0.303343773,0.00390625
0.305920362,-0.002441406
0.308495522,0
0.311070919,-0.002197266
0.313646793,0.002685547
0.316222668,0.006591797
0.318816185,0.009521484
0.321391582,0.005126953
0.323966503,0.004882813
0.326542616,-0.000244141
0.329118013,-0.000976563
0.331692457,0.003662109
0.334271669,-0.000732422
0.336848497,0.001953125
0.339423895,0.00390625
0.3420012,0.003417969
0.34457612,0.005615234
0.347151518,0.007080078
0.3497262,0.0078125
0.352301836,0.005126953
0.354878187,0.002929688
0.357467175,0.008300781
0.360042095,0.009277344
0.362617731,0.026367188
0.365192413,0.007568359
0.367768288,0.004638672
0.370343208,0.007324219
0.372918844,-0.001708984
0.375500679,-0.001953125
0.378096104,0.029541016
0.38067174,-0.001708984
0.38324666,-0.021484375
0.385821342,-0.050292969
0.38839674,-0.010742188
0.390972137,0.031738281
0.393548489,0.025146484
0.39612484,0.018310547
0.398699999,-0.002929688
0.401288271,0.006347656
0.403869629,-0.012207031
0.406448841,0.003173828
0.409025192,0.0078125
0.411600113,0.014404297
0.414181948,0.003662109
0.416768074,-0.008789063
0.419352293,-0.020996094
0.421927452,-0.03125
0.424502611,0.018310547
0.427077293,0.041015625
0.429653168,0.021728516
0.432228088,0.018798828
0.434807777,0.003417969
0.437384605,0.031494141
0.439965725,0.014160156
0.44254303,0.022949219
0.445118189,0.031005859
0.44769311,0.006103516
0.450267792,0.022216797
0.452841997,0.013427734
0.45541811,0.052734375
0.457994461,0.004638672
0.46056962,-0.001220703
0.463145018,0.005126953
